referrer,views_total,views_unique
Google,127,81
elixir-tools.dev,32,14
search.brave.com,27,10
DuckDuckGo,25,11
elixirforum.com,14,9
mitchellhanberg.com,6,4
github.com,4,4
medium.com,3,2
yandex.ru,2,2
t.co,2,1
