time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-27 00:00:00+00:00,67,22,10,6
2026-02-28 00:00:00+00:00,66,21,6,4
2026-03-01 00:00:00+00:00,69,26,1,1
2026-03-02 00:00:00+00:00,75,27,9,5
2026-03-03 00:00:00+00:00,69,21,3,3
2026-03-04 00:00:00+00:00,58,18,22,4
2026-03-05 00:00:00+00:00,58,21,10,8
2026-03-06 00:00:00+00:00,86,24,11,11
2026-03-07 00:00:00+00:00,60,23,3,2
2026-03-08 00:00:00+00:00,67,22,9,7
2026-03-09 00:00:00+00:00,68,25,6,4
2026-03-10 00:00:00+00:00,65,20,11,9
2026-03-11 00:00:00+00:00,57,21,14,10
2026-03-12 00:00:00+00:00,52,20,7,6
