time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-15 00:00:00+00:00,55,20,6,5
2026-03-16 00:00:00+00:00,62,24,12,5
2026-03-17 00:00:00+00:00,95,27,16,11
2026-03-18 00:00:00+00:00,57,18,8,5
2026-03-19 00:00:00+00:00,69,26,7,6
2026-03-20 00:00:00+00:00,70,25,9,8
2026-03-21 00:00:00+00:00,47,18,5,4
2026-03-22 00:00:00+00:00,62,22,8,5
2026-03-23 00:00:00+00:00,102,37,15,6
2026-03-24 00:00:00+00:00,52,19,12,9
2026-03-25 00:00:00+00:00,52,21,11,6
2026-03-26 00:00:00+00:00,56,20,8,7
2026-03-27 00:00:00+00:00,53,20,12,7
2026-03-28 00:00:00+00:00,47,20,5,4
