time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-26 00:00:00+00:00,103,36,9,6
2025-08-27 00:00:00+00:00,85,39,12,12
2025-08-28 00:00:00+00:00,88,35,25,22
2025-08-29 00:00:00+00:00,123,44,48,24
2025-08-30 00:00:00+00:00,59,21,13,10
2025-08-31 00:00:00+00:00,64,20,13,8
2025-09-01 00:00:00+00:00,95,34,13,8
2025-09-02 00:00:00+00:00,111,34,29,12
2025-09-03 00:00:00+00:00,86,40,20,17
2025-09-04 00:00:00+00:00,81,31,20,14
2025-09-05 00:00:00+00:00,58,23,20,13
2025-09-06 00:00:00+00:00,50,18,10,7
2025-09-07 00:00:00+00:00,128,22,5,5
2025-09-08 00:00:00+00:00,89,24,35,13
