time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-02 00:00:00+00:00,30,14,30,19
2024-07-03 00:00:00+00:00,33,11,14,11
2024-07-04 00:00:00+00:00,22,7,35,19
2024-07-05 00:00:00+00:00,64,18,42,16
2024-07-06 00:00:00+00:00,66,15,64,19
2024-07-07 00:00:00+00:00,51,15,49,15
2024-07-08 00:00:00+00:00,42,21,46,21
2024-07-09 00:00:00+00:00,37,16,65,26
2024-07-10 00:00:00+00:00,65,21,44,17
2024-07-11 00:00:00+00:00,30,13,39,14
2024-07-12 00:00:00+00:00,26,13,19,13
2024-07-13 00:00:00+00:00,34,12,23,13
2024-07-14 00:00:00+00:00,29,14,17,9
2024-07-15 00:00:00+00:00,27,13,9,8
