url_path,views_total,views_unique
/elixir-tools/elixir-tools.nvim,280,165
/elixir-tools/elixir-tools.nvim/tree/main/lua/elixir,18,6
/elixir-tools/elixir-tools.nvim/blob/5e7596be469be0800e9cbe3415de971f7286c3d0/lua/elixir/elixirls/init.lua,14,1
/elixir-tools/elixir-tools.nvim/issues,13,10
/elixir-tools/elixir-tools.nvim/tree/main/doc,7,2
/elixir-tools/elixir-tools.nvim/blob/main/lua/elixir/init.lua,6,3
/elixir-tools/elixir-tools.nvim/tree/main/lua/elixir/elixirls,6,2
/elixir-tools/elixir-tools.nvim/tree/main/support,6,1
/elixir-tools/elixir-tools.nvim/blob/main/doc/elixir-tools.nvim.txt,4,2
/elixir-tools/elixir-tools.nvim/blob/main/lua/elixir/nextls/init.lua,4,2
