time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-02 00:00:00+00:00,63,23,12,8
2025-10-03 00:00:00+00:00,50,22,16,5
2025-10-04 00:00:00+00:00,23,12,37,10
2025-10-05 00:00:00+00:00,37,21,2,2
2025-10-06 00:00:00+00:00,72,29,15,12
2025-10-07 00:00:00+00:00,55,29,19,8
2025-10-08 00:00:00+00:00,67,27,10,9
2025-10-09 00:00:00+00:00,57,24,16,16
2025-10-10 00:00:00+00:00,43,22,11,8
2025-10-11 00:00:00+00:00,34,21,6,5
2025-10-12 00:00:00+00:00,59,23,16,8
2025-10-13 00:00:00+00:00,86,28,14,6
2025-10-14 00:00:00+00:00,104,43,16,12
2025-10-15 00:00:00+00:00,116,79,34,15
