time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-05 00:00:00+00:00,100.0,31.0,13,12
2025-08-06 00:00:00+00:00,78.0,30.0,44,24
2025-08-07 00:00:00+00:00,99.0,33.0,26,18
2025-08-08 00:00:00+00:00,92.0,29.0,28,17
2025-08-09 00:00:00+00:00,68.0,28.0,4,4
2025-08-10 00:00:00+00:00,66.0,24.0,19,11
2025-08-11 00:00:00+00:00,68.0,25.0,19,12
2025-08-12 00:00:00+00:00,75.0,34.0,9,8
2025-08-13 00:00:00+00:00,100.0,42.0,18,9
2025-08-14 00:00:00+00:00,14.0,7.0,15,12
2025-08-15 00:00:00+00:00,,,14,12
2025-08-16 00:00:00+00:00,,,6,6
2025-08-17 00:00:00+00:00,,,21,9
2025-08-18 00:00:00+00:00,,,25,15
