referrer,views_total,views_unique
Google,108,72
elixir-tools.dev,33,19
search.brave.com,26,9
DuckDuckGo,13,12
medium.com,10,5
elixirforum.com,9,4
github.com,7,6
mitchellhanberg.com,6,5
Bing,6,1
search.nixos.org,3,3
