referrer,views_total,views_unique
Google,58,40
DuckDuckGo,19,7
github.com,17,8
search.brave.com,9,4
expert-lsp.org,5,3
elixir-tools.dev,2,2
elixirforum.com,2,1
kagi.com,1,1
qwant.com,1,1
