time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-10 00:00:00+00:00,73,33,5,5
2025-02-11 00:00:00+00:00,68,29,16,11
2025-02-12 00:00:00+00:00,52,23,47,8
2025-02-13 00:00:00+00:00,62,25,15,7
2025-02-14 00:00:00+00:00,77,32,20,13
2025-02-15 00:00:00+00:00,52,20,19,9
2025-02-16 00:00:00+00:00,51,15,10,7
2025-02-17 00:00:00+00:00,77,18,18,9
2025-02-18 00:00:00+00:00,67,24,7,7
2025-02-19 00:00:00+00:00,63,29,26,14
2025-02-20 00:00:00+00:00,76,26,23,14
2025-02-21 00:00:00+00:00,70,32,29,15
2025-02-22 00:00:00+00:00,51,18,23,12
2025-02-23 00:00:00+00:00,32,12,4,4
