time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-21 00:00:00+00:00,67,31,14,12
2024-06-22 00:00:00+00:00,46,21,9,6
2024-06-23 00:00:00+00:00,41,19,13,7
2024-06-24 00:00:00+00:00,41,22,73,22
2024-06-25 00:00:00+00:00,29,15,53,13
2024-06-26 00:00:00+00:00,28,15,80,19
2024-06-27 00:00:00+00:00,20,8,23,14
2024-06-28 00:00:00+00:00,22,10,57,19
2024-06-29 00:00:00+00:00,25,10,23,10
2024-06-30 00:00:00+00:00,22,4,39,14
2024-07-01 00:00:00+00:00,24,13,26,18
2024-07-02 00:00:00+00:00,30,14,30,19
2024-07-03 00:00:00+00:00,33,11,14,11
2024-07-04 00:00:00+00:00,22,7,33,18
