url_path,views_total,views_unique
/elixir-tools/elixir-tools.nvim,225,132
/elixir-tools/elixir-tools.nvim/issues,22,12
/elixir-tools/elixir-tools.nvim/issues/229,8,2
/elixir-tools/elixir-tools.nvim/tree/main/lua/elixir,6,5
/elixir-tools/elixir-tools.nvim/blob/main/lua/elixir/elixirls/init.lua,3,3
/elixir-tools/elixir-tools.nvim/releases,3,2
/elixir-tools/elixir-tools.nvim/issues/179,3,1
/elixir-tools/elixir-tools.nvim/blob/main/lua/elixir/init.lua,2,2
/elixir-tools/elixir-tools.nvim/blob/main/lua/elixir/nextls/init.lua,2,2
/elixir-tools/elixir-tools.nvim/issues/13,2,2
