time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-11 00:00:00+00:00,100,35,26,17
2025-06-12 00:00:00+00:00,67,25,20,13
2025-06-13 00:00:00+00:00,65,25,20,13
2025-06-14 00:00:00+00:00,84,26,12,5
2025-06-15 00:00:00+00:00,53,21,12,12
2025-06-16 00:00:00+00:00,114,42,17,7
2025-06-17 00:00:00+00:00,97,49,44,8
2025-06-18 00:00:00+00:00,63,26,31,18
2025-06-19 00:00:00+00:00,120,35,10,7
2025-06-20 00:00:00+00:00,110,35,67,10
2025-06-21 00:00:00+00:00,80,31,8,6
2025-06-22 00:00:00+00:00,66,24,16,11
2025-06-23 00:00:00+00:00,126,38,21,7
2025-06-24 00:00:00+00:00,68,25,20,13
