referrer,views_total,views_unique
Google,148,86
elixir-tools.dev,138,50
github.com,41,13
DuckDuckGo,32,21
elixirforum.com,26,14
medium.com,11,7
neovimcraft.com,11,2
Bing,7,4
search.brave.com,6,5
yandex.by,6,1
