time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-24 00:00:00+00:00,152,97,101,22
2024-05-25 00:00:00+00:00,78,45,19,12
2024-05-26 00:00:00+00:00,84,38,25,15
2024-05-27 00:00:00+00:00,99,53,33,13
2024-05-28 00:00:00+00:00,85,51,62,23
2024-05-29 00:00:00+00:00,79,45,32,17
2024-05-30 00:00:00+00:00,77,38,20,16
2024-05-31 00:00:00+00:00,94,39,126,19
2024-06-01 00:00:00+00:00,101,31,20,11
2024-06-02 00:00:00+00:00,53,25,26,17
2024-06-03 00:00:00+00:00,79,40,9,9
2024-06-04 00:00:00+00:00,71,36,33,16
2024-06-05 00:00:00+00:00,80,36,45,24
2024-06-06 00:00:00+00:00,62,29,23,12
