referrer,views_total,views_unique
Google,163,75
elixir-tools.dev,50,24
DuckDuckGo,20,12
github.com,18,7
medium.com,17,8
search.brave.com,12,7
mitchellhanberg.com,11,7
elixirforum.com,9,3
ecosia.org,3,1
search.nixos.org,2,2
