referrer,views_total,views_unique
Google,159,74
elixir-tools.dev,101,28
DuckDuckGo,30,17
github.com,27,10
mitchellhanberg.com,11,5
search.brave.com,9,6
elixirforum.com,8,6
t.co,7,4
Bing,7,4
search.nixos.org,6,2
