time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-29 00:00:00+00:00,38,16,7,7
2025-11-30 00:00:00+00:00,49,23,7,6
2025-12-01 00:00:00+00:00,123,58,47,18
2025-12-02 00:00:00+00:00,119,49,12,8
2025-12-03 00:00:00+00:00,172,56,29,13
2025-12-04 00:00:00+00:00,99,28,17,12
2025-12-05 00:00:00+00:00,84,29,11,7
2025-12-06 00:00:00+00:00,73,29,18,6
2025-12-07 00:00:00+00:00,60,25,8,8
2025-12-08 00:00:00+00:00,47,21,7,7
2025-12-09 00:00:00+00:00,77,32,11,9
2025-12-10 00:00:00+00:00,52,19,17,12
2025-12-11 00:00:00+00:00,58,20,10,6
2025-12-12 00:00:00+00:00,52,20,4,4
