url_path,views_total,views_unique
/elixir-tools/elixir-tools.nvim,335,182
/elixir-tools/elixir-tools.nvim/tree/main/lua/elixir,40,7
/elixir-tools/elixir-tools.nvim/issues,24,9
/elixir-tools/elixir-tools.nvim/tree/main/lua/elixir/elixirls,17,4
/elixir-tools/elixir-tools.nvim/tree/main/bin,16,4
/elixir-tools/elixir-tools.nvim/blob/0de83ff15ab76608ed4020676193bdf5a9d8b9b7/lua/elixir/init.lua,14,1
/elixir-tools/elixir-tools.nvim/blob/main/lua/elixir/init.lua,12,3
/elixir-tools/elixir-tools.nvim/pulls,12,3
/elixir-tools/elixir-tools.nvim/tree/main/ftplugin,11,5
/elixir-tools/elixir-tools.nvim/blob/main/README.md,11,4
