time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-17 00:00:00+00:00,50,21,15,10
2025-05-18 00:00:00+00:00,94,27,21,11
2025-05-19 00:00:00+00:00,95,27,14,12
2025-05-20 00:00:00+00:00,94,27,37,14
2025-05-21 00:00:00+00:00,93,28,26,12
2025-05-22 00:00:00+00:00,114,32,20,13
2025-05-23 00:00:00+00:00,63,22,9,7
2025-05-24 00:00:00+00:00,88,27,11,9
2025-05-25 00:00:00+00:00,78,28,11,10
2025-05-26 00:00:00+00:00,125,59,13,10
2025-05-27 00:00:00+00:00,128,68,24,8
2025-05-28 00:00:00+00:00,70,24,21,13
2025-05-29 00:00:00+00:00,72,25,51,10
2025-05-30 00:00:00+00:00,64,18,14,6
