url_path,views_total,views_unique
/elixir-tools/elixir-tools.nvim,285,169
/elixir-tools/elixir-tools.nvim/issues,38,18
/elixir-tools/elixir-tools.nvim/tree/main/lua/elixir,32,8
/elixir-tools/elixir-tools.nvim/tree/main/lua/elixir/elixirls,20,2
/elixir-tools/elixir-tools.nvim/blob/main/lua/elixir/init.lua,13,3
/elixir-tools/elixir-tools.nvim/blob/main/lua/elixir/elixirls/init.lua,10,2
/elixir-tools/elixir-tools.nvim/blob/main/lua/elixir/nextls/init.lua,10,2
/elixir-tools/elixir-tools.nvim/issues/215,9,5
/elixir-tools/elixir-tools.nvim/blob/main/README.md,9,4
/elixir-tools/elixir-tools.nvim/tree/main/doc,9,4
