referrer,views_total,views_unique
Google,139,83
elixir-tools.dev,48,24
github.com,22,10
search.brave.com,15,8
DuckDuckGo,9,7
medium.com,7,5
elixirforum.com,7,5
mitchellhanberg.com,6,4
elixir-lang.org,5,4
Bing,3,1
