time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-02 00:00:00+00:00,65,26,34,24
2024-10-03 00:00:00+00:00,32,19,56,22
2024-10-04 00:00:00+00:00,43,25,27,19
2024-10-05 00:00:00+00:00,23,11,9,8
2024-10-06 00:00:00+00:00,29,14,31,14
2024-10-07 00:00:00+00:00,25,12,30,20
2024-10-08 00:00:00+00:00,27,14,21,13
2024-10-09 00:00:00+00:00,32,15,39,19
2024-10-10 00:00:00+00:00,19,8,23,11
2024-10-11 00:00:00+00:00,19,9,16,11
2024-10-12 00:00:00+00:00,19,8,25,6
2024-10-13 00:00:00+00:00,19,5,4,4
2024-10-14 00:00:00+00:00,20,9,9,7
2024-10-15 00:00:00+00:00,25,12,13,9
