time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-01 00:00:00+00:00,38,21,5,5
2025-11-02 00:00:00+00:00,40,20,17,11
2025-11-03 00:00:00+00:00,70,43,10,6
2025-11-04 00:00:00+00:00,46,30,20,9
2025-11-05 00:00:00+00:00,59,28,26,15
2025-11-06 00:00:00+00:00,62,27,34,11
2025-11-07 00:00:00+00:00,41,24,25,18
2025-11-08 00:00:00+00:00,40,19,23,14
2025-11-09 00:00:00+00:00,34,18,18,13
2025-11-10 00:00:00+00:00,47,27,13,11
2025-11-11 00:00:00+00:00,29,16,17,12
2025-11-12 00:00:00+00:00,51,28,29,10
2025-11-13 00:00:00+00:00,39,23,9,8
2025-11-14 00:00:00+00:00,35,16,5,4
