time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-05 00:00:00+00:00,85,42,11,7
2026-06-06 00:00:00+00:00,61,21,5,5
2026-06-07 00:00:00+00:00,51,18,11,8
2026-06-08 00:00:00+00:00,92,34,11,4
2026-06-09 00:00:00+00:00,72,28,4,4
2026-06-10 00:00:00+00:00,57,30,1,1
2026-06-11 00:00:00+00:00,61,22,6,5
2026-06-12 00:00:00+00:00,68,23,5,3
2026-06-13 00:00:00+00:00,68,25,11,11
2026-06-14 00:00:00+00:00,61,23,8,7
2026-06-15 00:00:00+00:00,93,32,5,4
2026-06-16 00:00:00+00:00,65,27,2,2
2026-06-17 00:00:00+00:00,87,32,2,2
2026-06-18 00:00:00+00:00,64,26,6,4
