url_path,views_total,views_unique
/elixir-tools/elixir-tools.nvim,301,142
/elixir-tools/elixir-tools.nvim/issues,41,21
/elixir-tools/elixir-tools.nvim/pulls,15,6
/elixir-tools/elixir-tools.nvim/blob/main/CHANGELOG.md,15,4
/elixir-tools/elixir-tools.nvim/pull/197,13,3
/elixir-tools/elixir-tools.nvim/tree/main/lua/elixir,12,4
/elixir-tools/elixir-tools.nvim/blob/f7877ae4cd491fd51183be1e68b3c8b39133e794/lua/elixir/elixirls/init.lua,10,2
/elixir-tools/elixir-tools.nvim/blob/main/README.md,9,3
/elixir-tools/elixir-tools.nvim/issues/196,7,2
/elixir-tools/elixir-tools.nvim/issues/185,6,6
