url_path,views_total,views_unique
/elixir-tools/elixir-tools.nvim,108,67
/elixir-tools/elixir-tools.nvim/issues,14,7
/elixir-tools/elixir-tools.nvim/issues/123,5,5
/elixir-tools/elixir-tools.nvim/blob/main/README.md,3,3
/elixir-tools/elixir-tools.nvim/issues/245,3,3
/elixir-tools/elixir-tools.nvim/releases,3,2
/elixir-tools/elixir-tools.nvim/issues/241,2,2
/elixir-tools/elixir-tools.nvim/issues/218,2,1
/elixir-tools/elixir-tools.nvim/blob/main/CHANGELOG.md,1,1
/elixir-tools/elixir-tools.nvim/blob/main/version.txt,1,1
