url_path,views_total,views_unique
/elixir-tools/elixir-tools.nvim,241,144
/elixir-tools/elixir-tools.nvim/issues,14,8
/elixir-tools/elixir-tools.nvim/tree/main/lua/elixir,9,2
/elixir-tools/elixir-tools.nvim/blob/main/CHANGELOG.md,9,1
/elixir-tools/elixir-tools.nvim/blob/main/lua/elixir/init.lua,8,2
/elixir-tools/elixir-tools.nvim/blob/main/doc/elixir-tools.nvim.txt,6,3
/elixir-tools/elixir-tools.nvim/blob/main/justfile,4,2
/elixir-tools/elixir-tools.nvim/blob/main/lua/elixir/utils.lua,4,2
/elixir-tools/elixir-tools.nvim/issues/185,3,3
/elixir-tools/elixir-tools.nvim/issues/13,3,2
