time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-17 00:00:00+00:00,21,7,24,11
2024-09-18 00:00:00+00:00,21,7,17,14
2024-09-19 00:00:00+00:00,19,8,23,11
2024-09-20 00:00:00+00:00,20,9,77,12
2024-09-21 00:00:00+00:00,20,6,40,10
2024-09-22 00:00:00+00:00,16,5,9,5
2024-09-23 00:00:00+00:00,24,11,15,12
2024-09-24 00:00:00+00:00,28,15,38,15
2024-09-25 00:00:00+00:00,44,9,45,10
2024-09-26 00:00:00+00:00,24,9,17,11
2024-09-27 00:00:00+00:00,21,8,37,14
2024-09-28 00:00:00+00:00,15,4,16,9
2024-09-29 00:00:00+00:00,24,7,13,9
2024-09-30 00:00:00+00:00,22,8,13,9
