url_path,views_total,views_unique
/elixir-tools/elixir-tools.nvim,364,200
/elixir-tools/elixir-tools.nvim/tree/main/lua/elixir,35,9
/elixir-tools/elixir-tools.nvim/issues,30,11
/elixir-tools/elixir-tools.nvim/tree/main/lua/elixir/elixirls,15,4
/elixir-tools/elixir-tools.nvim/issues/177,12,5
/elixir-tools/elixir-tools.nvim/blob/main/lua/elixir/elixirls/init.lua,12,3
/elixir-tools/elixir-tools.nvim/tree/main/bin,9,2
/elixir-tools/elixir-tools.nvim/tree/main/lua/elixir/nextls,8,3
/elixir-tools/elixir-tools.nvim/blob/main/lua/elixir/nextls/init.lua,8,2
/elixir-tools/elixir-tools.nvim/tree/main/queries/elixir,8,2
