time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-09 00:00:00+00:00,58,27,54,16
2024-01-10 00:00:00+00:00,61,27,71,21
2024-01-11 00:00:00+00:00,36,21,53,21
2024-01-12 00:00:00+00:00,26,16,9,9
2024-01-13 00:00:00+00:00,27,16,21,11
2024-01-14 00:00:00+00:00,24,15,11,10
2024-01-15 00:00:00+00:00,48,31,16,9
2024-01-16 00:00:00+00:00,49,28,61,18
2024-01-17 00:00:00+00:00,34,20,33,16
2024-01-18 00:00:00+00:00,37,20,27,15
2024-01-19 00:00:00+00:00,29,16,35,16
2024-01-20 00:00:00+00:00,23,14,14,10
2024-01-21 00:00:00+00:00,39,16,39,7
2024-01-22 00:00:00+00:00,43,24,16,14
2024-01-23 00:00:00+00:00,48,24,67,23
2024-01-24 00:00:00+00:00,24,14,26,8
2024-01-25 00:00:00+00:00,30,15,39,13
2024-01-26 00:00:00+00:00,41,20,26,8
2024-01-27 00:00:00+00:00,27,13,43,12
2024-01-28 00:00:00+00:00,25,14,16,9
2024-01-29 00:00:00+00:00,47,20,23,15
2024-01-30 00:00:00+00:00,123,22,30,21
2024-01-31 00:00:00+00:00,103,31,63,13
2024-02-01 00:00:00+00:00,66,27,27,14
2024-02-02 00:00:00+00:00,43,22,63,23
2024-02-03 00:00:00+00:00,40,19,68,14
2024-02-04 00:00:00+00:00,26,12,52,14
2024-02-05 00:00:00+00:00,40,25,37,13
2024-02-06 00:00:00+00:00,40,19,71,23
2024-02-07 00:00:00+00:00,55,20,58,17
2024-02-08 00:00:00+00:00,67,26,84,19
2024-02-09 00:00:00+00:00,50,17,48,16
2024-02-10 00:00:00+00:00,40,20,82,14
2024-02-11 00:00:00+00:00,39,16,108,14
2024-02-12 00:00:00+00:00,63,29,25,15
2024-02-13 00:00:00+00:00,53,29,113,23
2024-02-14 00:00:00+00:00,179,93,106,17
2024-02-15 00:00:00+00:00,102,80,42,18
2024-02-16 00:00:00+00:00,61,46,83,16
2024-02-17 00:00:00+00:00,95,27,31,10
2024-02-18 00:00:00+00:00,25,20,18,10
2024-02-19 00:00:00+00:00,63,40,45,23
2024-02-20 00:00:00+00:00,64,32,43,22
2024-02-21 00:00:00+00:00,61,36,50,18
2024-02-22 00:00:00+00:00,49,32,45,16
2024-02-23 00:00:00+00:00,48,31,69,17
2024-02-24 00:00:00+00:00,31,18,19,10
2024-02-25 00:00:00+00:00,52,23,23,14
2024-02-26 00:00:00+00:00,78,36,30,16
2024-02-27 00:00:00+00:00,115,72,116,41
2024-02-28 00:00:00+00:00,170,93,114,34
2024-02-29 00:00:00+00:00,131,56,65,34
2024-03-01 00:00:00+00:00,74,39,42,22
2024-03-02 00:00:00+00:00,54,29,26,9
2024-03-03 00:00:00+00:00,92,38,43,19
2024-03-04 00:00:00+00:00,113,47,36,19
2024-03-05 00:00:00+00:00,108,47,62,17
2024-03-06 00:00:00+00:00,76,35,42,24
2024-03-07 00:00:00+00:00,113,40,52,20
2024-03-08 00:00:00+00:00,338,96,47,16
2024-03-09 00:00:00+00:00,98,49,20,15
2024-03-10 00:00:00+00:00,102,56,41,20
2024-03-11 00:00:00+00:00,139,75,60,23
2024-03-12 00:00:00+00:00,128,56,55,27
2024-03-13 00:00:00+00:00,111,53,22,16
2024-03-14 00:00:00+00:00,114,44,26,18
2024-03-15 00:00:00+00:00,98,41,31,19
2024-03-16 00:00:00+00:00,110,41,64,18
2024-03-17 00:00:00+00:00,90,33,26,18
2024-03-18 00:00:00+00:00,103,39,77,17
2024-03-19 00:00:00+00:00,108,43,51,20
2024-03-20 00:00:00+00:00,97,36,43,21
2024-03-21 00:00:00+00:00,70,29,25,20
2024-03-22 00:00:00+00:00,110,35,48,16
2024-03-23 00:00:00+00:00,85,29,69,16
2024-03-24 00:00:00+00:00,56,25,21,13
2024-03-25 00:00:00+00:00,85,29,43,10
2024-03-26 00:00:00+00:00,82,32,19,16
2024-03-27 00:00:00+00:00,110,31,59,17
2024-03-28 00:00:00+00:00,82,33,67,19
2024-03-29 00:00:00+00:00,80,28,76,29
2024-03-30 00:00:00+00:00,57,21,40,19
2024-03-31 00:00:00+00:00,71,26,44,12
2024-04-01 00:00:00+00:00,84,32,79,23
2024-04-02 00:00:00+00:00,79,23,21,18
2024-04-03 00:00:00+00:00,100,33,37,9
2024-04-04 00:00:00+00:00,103,34,15,11
2024-04-05 00:00:00+00:00,87,27,12,11
2024-04-06 00:00:00+00:00,68,20,19,13
2024-04-07 00:00:00+00:00,81,31,28,11
2024-04-08 00:00:00+00:00,107,38,17,12
2024-04-09 00:00:00+00:00,82,33,21,14
